;scaler;dimension;n_clusters;best_params;best_value;best_original_value
0;standard;3;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'manhattan'};0.5934968577956707;0.5934968577956707
1;standard;4;7;{'n_clusters': 7, 'linkage': 'average', 'metric': 'manhattan'};0.5974711866895847;0.5974711866895847
2;standard;5;4;{'n_clusters': 4, 'linkage': 'complete', 'metric': 'manhattan'};0.603143323822972;0.603143323822972
3;standard;6;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'cosine'};0.5595057549761399;0.5595057549761399
4;standard;7;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'euclidean'};0.6023156012170983;0.6023156012170983
5;standard;8;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'euclidean'};0.5750768637188294;0.5750768637188294
6;standard;9;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'euclidean'};0.5799265584049572;0.5799265584049572
7;standard;10;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'euclidean'};0.612028819599853;0.612028819599853
8;standard;11;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'euclidean'};0.5804236943255442;0.5804236943255442
9;standard;12;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'manhattan'};0.6284332181862368;0.6284332181862368
10;standard;13;8;{'n_clusters': 8, 'linkage': 'single', 'metric': 'manhattan'};0.6060879223366198;0.6060879223366198
11;standard;14;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'cosine'};0.5814122852568516;0.5814122852568516
12;minmax;3;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'euclidean'};0.5889294771958987;0.5889294771958987
13;minmax;4;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'euclidean'};0.567624580314381;0.567624580314381
14;minmax;5;4;{'n_clusters': 4, 'linkage': 'ward', 'metric': 'euclidean'};0.5929063055233669;0.5929063055233669
15;minmax;6;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'manhattan'};0.5801974688391867;0.5801974688391867
16;minmax;7;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'manhattan'};0.5678523842063663;0.5678523842063663
17;minmax;8;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'euclidean'};0.5935767009337753;0.5935767009337753
18;minmax;9;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'cosine'};0.5940134955560221;0.5940134955560221
19;minmax;10;7;{'n_clusters': 7, 'linkage': 'average', 'metric': 'cosine'};0.6007830043676197;0.6007830043676197
20;minmax;11;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'manhattan'};0.5875015195177745;0.5875015195177745
21;minmax;12;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'euclidean'};0.5832759166651856;0.5832759166651856
22;minmax;13;5;{'n_clusters': 5, 'linkage': 'complete', 'metric': 'euclidean'};0.5464012489945445;0.5464012489945445
23;minmax;14;8;{'n_clusters': 8, 'linkage': 'average', 'metric': 'manhattan'};0.5469248902130801;0.5469248902130801
24;robust;3;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'euclidean'};0.5712286301305134;0.5712286301305134
25;robust;4;7;{'n_clusters': 7, 'linkage': 'average', 'metric': 'manhattan'};0.5657617268249123;0.5657617268249123
26;robust;5;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'manhattan'};0.5570470853988873;0.5570470853988873
27;robust;6;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'manhattan'};0.6047368005105763;0.6047368005105763
28;robust;7;5;{'n_clusters': 5, 'linkage': 'single', 'metric': 'cosine'};0.5730863465528395;0.5730863465528395
29;robust;8;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'manhattan'};0.6091738566958635;0.6091738566958635
30;robust;9;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'euclidean'};0.6021198714655623;0.6021198714655623
31;robust;10;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'euclidean'};0.6123334085836339;0.6123334085836339
32;robust;11;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'euclidean'};0.5958498620454351;0.5958498620454351
33;robust;12;6;{'n_clusters': 6, 'linkage': 'complete', 'metric': 'euclidean'};0.5609359968792864;0.5609359968792864
34;robust;13;8;{'n_clusters': 8, 'linkage': 'average', 'metric': 'manhattan'};0.5887656223238129;0.5887656223238129
35;robust;14;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'manhattan'};0.6042053370448588;0.6042053370448588
36;maxabs;3;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'manhattan'};0.5747570864586956;0.5747570864586956
37;maxabs;4;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'euclidean'};0.5874544063292377;0.5874544063292377
38;maxabs;5;7;{'n_clusters': 7, 'linkage': 'single', 'metric': 'manhattan'};0.5494790402410387;0.5494790402410387
39;maxabs;6;4;{'n_clusters': 4, 'linkage': 'ward', 'metric': 'euclidean'};0.587272708699814;0.587272708699814
40;maxabs;7;5;{'n_clusters': 5, 'linkage': 'single', 'metric': 'euclidean'};0.6114751181620727;0.6114751181620727
41;maxabs;8;4;{'n_clusters': 4, 'linkage': 'ward', 'metric': 'cosine'};0.5907238415145486;0.5907238415145486
42;maxabs;9;8;{'n_clusters': 8, 'linkage': 'single', 'metric': 'manhattan'};0.6030764195360796;0.6030764195360796
43;maxabs;10;7;{'n_clusters': 7, 'linkage': 'single', 'metric': 'manhattan'};0.600425734058987;0.600425734058987
44;maxabs;11;6;{'n_clusters': 6, 'linkage': 'single', 'metric': 'manhattan'};0.528458546020356;0.528458546020356
45;maxabs;12;4;{'n_clusters': 4, 'linkage': 'ward', 'metric': 'cosine'};0.6135086503701146;0.6135086503701146
46;maxabs;13;7;{'n_clusters': 7, 'linkage': 'single', 'metric': 'euclidean'};0.5610680142487128;0.5610680142487128
47;maxabs;14;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'cosine'};0.568964699475596;0.568964699475596
