;scaler;dimension;n_clusters;best_params;best_value
0;standard;3;2;{'min_cluster_size': 147, 'min_samples': 73, 'cluster_selection_epsilon': 0.24235097191316443, 'alpha': 1.975303388867588, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3262970278670314
1;standard;4;2;{'min_cluster_size': 124, 'min_samples': 40, 'cluster_selection_epsilon': 0.01649772250437032, 'alpha': 1.3356373671575303, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.32897167726774695
2;standard;5;2;{'min_cluster_size': 99, 'min_samples': 63, 'cluster_selection_epsilon': 0.4989869412327386, 'alpha': 0.7809266475772674, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3518575002371462
3;standard;6;2;{'min_cluster_size': 146, 'min_samples': 34, 'cluster_selection_epsilon': 0.01368433335135711, 'alpha': 1.5734855213514214, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3456269387164107
4;standard;7;2;{'min_cluster_size': 93, 'min_samples': 43, 'cluster_selection_epsilon': 0.16291888579978075, 'alpha': 1.36634657136335, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.35049170204566693
5;standard;8;2;{'min_cluster_size': 119, 'min_samples': 37, 'cluster_selection_epsilon': 0.0606752861125631, 'alpha': 1.252734306662736, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3517054054712914
6;standard;9;2;{'min_cluster_size': 112, 'min_samples': 57, 'cluster_selection_epsilon': 0.0358392805859479, 'alpha': 1.9422964156471487, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3515980373805621
7;standard;10;2;{'min_cluster_size': 123, 'min_samples': 54, 'cluster_selection_epsilon': 0.02695428508277743, 'alpha': 1.980566844899282, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3665249726778559
8;standard;11;2;{'min_cluster_size': 139, 'min_samples': 53, 'cluster_selection_epsilon': 0.07641009368971702, 'alpha': 1.137584634836019, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.34702779286282237
9;standard;12;2;{'min_cluster_size': 127, 'min_samples': 62, 'cluster_selection_epsilon': 0.3713904195188449, 'alpha': 1.2374962365705995, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.35765129021734887
10;standard;13;2;{'min_cluster_size': 149, 'min_samples': 65, 'cluster_selection_epsilon': 0.6434691337956499, 'alpha': 0.9538379069120833, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.37215400745664495
11;standard;14;2;{'min_cluster_size': 101, 'min_samples': 25, 'cluster_selection_epsilon': 0.09736770320197317, 'alpha': 1.7421070967844545, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.35018511571963357
12;minmax;3;4;{'min_cluster_size': 50, 'min_samples': 43, 'cluster_selection_epsilon': 0.11335158023546307, 'alpha': 1.4047795433949857, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3613008283315562
13;minmax;4;2;{'min_cluster_size': 103, 'min_samples': 26, 'cluster_selection_epsilon': 0.558543779391273, 'alpha': 0.8264976366886825, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3275807402463212
14;minmax;5;4;{'min_cluster_size': 71, 'min_samples': 62, 'cluster_selection_epsilon': 0.06259551751764972, 'alpha': 1.8465027549278439, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.38826968788393446
15;minmax;6;2;{'min_cluster_size': 91, 'min_samples': 68, 'cluster_selection_epsilon': 0.028050798769176124, 'alpha': 0.8547751754725794, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3660838971196139
16;minmax;7;2;{'min_cluster_size': 115, 'min_samples': 45, 'cluster_selection_epsilon': 0.32516305017309416, 'alpha': 1.964635717590547, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3612550018913491
17;minmax;8;2;{'min_cluster_size': 133, 'min_samples': 60, 'cluster_selection_epsilon': 0.02230621812860896, 'alpha': 1.4938799837084666, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.34636816441820434
18;minmax;9;2;{'min_cluster_size': 124, 'min_samples': 34, 'cluster_selection_epsilon': 0.09792232028170514, 'alpha': 0.6531512040755871, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.36900491134264757
19;minmax;10;2;{'min_cluster_size': 119, 'min_samples': 37, 'cluster_selection_epsilon': 0.05555940046322425, 'alpha': 1.529094453765132, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3596775923623745
20;minmax;11;2;{'min_cluster_size': 149, 'min_samples': 58, 'cluster_selection_epsilon': 0.19914888023201946, 'alpha': 0.9242610495142511, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.36515167646463925
21;minmax;12;2;{'min_cluster_size': 150, 'min_samples': 71, 'cluster_selection_epsilon': 0.1345665613279912, 'alpha': 0.7667246170352302, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.36988149738859755
22;minmax;13;2;{'min_cluster_size': 116, 'min_samples': 26, 'cluster_selection_epsilon': 0.055171709024522404, 'alpha': 0.5627854038674301, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.36851927595326506
23;minmax;14;2;{'min_cluster_size': 149, 'min_samples': 27, 'cluster_selection_epsilon': 0.02425777566443929, 'alpha': 1.0663269633554264, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3559165515401137
24;robust;3;2;{'min_cluster_size': 133, 'min_samples': 45, 'cluster_selection_epsilon': 0.9465663645087902, 'alpha': 0.6402673890049353, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3183007760846834
25;robust;4;2;{'min_cluster_size': 123, 'min_samples': 51, 'cluster_selection_epsilon': 0.24158856595961908, 'alpha': 1.7456206307834516, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.32375964397628154
26;robust;5;4;{'min_cluster_size': 73, 'min_samples': 60, 'cluster_selection_epsilon': 0.7968025491499693, 'alpha': 1.9553838146037503, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3801560144827307
27;robust;6;2;{'min_cluster_size': 86, 'min_samples': 26, 'cluster_selection_epsilon': 0.06080081077554014, 'alpha': 1.168518676730368, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.369801509103907
28;robust;7;2;{'min_cluster_size': 123, 'min_samples': 26, 'cluster_selection_epsilon': 0.01658831033954664, 'alpha': 1.3830067786756084, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3563565985542534
29;robust;8;2;{'min_cluster_size': 116, 'min_samples': 56, 'cluster_selection_epsilon': 0.03417552906498026, 'alpha': 0.9850493458525622, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3558818770226445
30;robust;9;2;{'min_cluster_size': 96, 'min_samples': 59, 'cluster_selection_epsilon': 0.025387298858697643, 'alpha': 1.1083069686446123, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3579784606193543
31;robust;10;2;{'min_cluster_size': 119, 'min_samples': 42, 'cluster_selection_epsilon': 0.012088802746816205, 'alpha': 1.1225473612237256, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.34449023801639617
32;robust;11;2;{'min_cluster_size': 96, 'min_samples': 37, 'cluster_selection_epsilon': 0.013363648873217782, 'alpha': 1.8841198534963812, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3490207214630522
33;robust;12;2;{'min_cluster_size': 124, 'min_samples': 60, 'cluster_selection_epsilon': 0.02287369665785649, 'alpha': 1.8689896451955554, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.36567283540648393
34;robust;13;2;{'min_cluster_size': 94, 'min_samples': 58, 'cluster_selection_epsilon': 0.039184065847052356, 'alpha': 1.0087264701263439, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3724785044490945
35;robust;14;2;{'min_cluster_size': 141, 'min_samples': 25, 'cluster_selection_epsilon': 0.21285113665309607, 'alpha': 1.8992328145202368, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.36314798060266407
36;maxabs;3;2;{'min_cluster_size': 129, 'min_samples': 27, 'cluster_selection_epsilon': 0.48607781398918604, 'alpha': 0.7754951081827313, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3653643418457678
37;maxabs;4;2;{'min_cluster_size': 149, 'min_samples': 74, 'cluster_selection_epsilon': 0.0123232984642744, 'alpha': 1.060608204074725, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.343374582077753
38;maxabs;5;2;{'min_cluster_size': 124, 'min_samples': 66, 'cluster_selection_epsilon': 0.09613179383083308, 'alpha': 1.5341181931413717, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.35798802109790756
39;maxabs;6;2;{'min_cluster_size': 127, 'min_samples': 26, 'cluster_selection_epsilon': 0.16298281863896735, 'alpha': 1.2682157397037404, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3689177361690828
40;maxabs;7;2;{'min_cluster_size': 133, 'min_samples': 74, 'cluster_selection_epsilon': 0.31773645219741303, 'alpha': 0.8580027801582635, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3718406277416042
41;maxabs;8;2;{'min_cluster_size': 146, 'min_samples': 32, 'cluster_selection_epsilon': 0.010800923387894922, 'alpha': 0.9595717524090799, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.35911424013291904
42;maxabs;9;2;{'min_cluster_size': 104, 'min_samples': 32, 'cluster_selection_epsilon': 0.011851096417720069, 'alpha': 1.9807872773155526, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3524033019682757
43;maxabs;10;2;{'min_cluster_size': 109, 'min_samples': 30, 'cluster_selection_epsilon': 0.058340071505577185, 'alpha': 1.4704636355172185, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.35689086362448164
44;maxabs;11;2;{'min_cluster_size': 145, 'min_samples': 41, 'cluster_selection_epsilon': 0.6898742661533099, 'alpha': 1.7923727869786643, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.3702368498123992
45;maxabs;12;2;{'min_cluster_size': 95, 'min_samples': 44, 'cluster_selection_epsilon': 0.08533701372158305, 'alpha': 1.7904337290100358, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.35849464097737666
46;maxabs;13;2;{'min_cluster_size': 131, 'min_samples': 34, 'cluster_selection_epsilon': 0.14546591281075574, 'alpha': 0.5965728734604717, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.343046807173699
47;maxabs;14;2;{'min_cluster_size': 112, 'min_samples': 72, 'cluster_selection_epsilon': 0.030882643237811706, 'alpha': 1.0584004784185235, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3269542290545098
